text	label
This Jandor or whatever is unfit to contest for a  governorship candidate, a fairweather	abusive
U will never become lagos state governor u ipob fraud.	hateful
You dey mad , Even New York get Trenches .   Oga rest	abusive
Today, I commissioned a number of infrastructure projects initiated by Senator Adetokunbo Abiru, of the Lagos East Senatorial District, and facilitated through the Office of the Senior Special Assistant to President Muhammadu Buhari on SDG Mrs. Adejoke Orelope-Adefulire. 1/5	normal
This guy is so dull, so it’s Lagos state govt that owns headies? Smh    Very foolish & stupid statement.	abusive
Stup!d still full osun like this ?	abusive
Baba keep shut	abusive
Clap for yourselves..can any one of you in that meeting hit thier hand in their chest and say they have any of thier child or children in one of those universities on strike. Useless kleptocrats who have lost touch with reality	abusive
No be your fault! Shey be Una don see us as mumu naw! Na y you dey open your mouth dey talk rubbish..	abusive
The sight of the crowd that accompanied  @officialABAT  motorcade to the stadium further demonstrates that Lagos remains a stronghold of the progressives, and for this, we thank you for your overwhelming support, and for keeping faith with our party, and our presidential candidate.	normal
Accidentally deleted during edits?  Gbadebo, yeeeee parọ	abusive
You are doing well	normal
Wasted	abusive
Where were this people during election???Oga Rest, we understand all the Game's! Thiefnubu goes nowhere ...	hateful
A very good initiative Sir. Thanks to Almighty Allah that Lagos State has been enjoying Religion tolerance among her populace.	normal
I will be speaking on Arise TV in the next few mins to address the whole electoral process that happened in Lagos.  The massive manipulation of results in Lagos State as reported statewide is an insult to our democracy.  Èkó E dìde!!  ~ GRV.	normal
My vote is for you	normal
Keep fooling yourself. GRV is our governor	abusive
The Labour Party Deputy Gubernatorial Candidate in Lagos State, Princess Abiodun Oyefusi has demanded for the breakdown of N807bn debt profile of Lagos State recently released by the Debt Management Office (DMO)	normal
This your crucial discussion no dey effective for Ogun state ooo, abi our governor dey play (sleep) during meeting ni	abusive
Still you are not fit to be a governor!!!! Your deputy makes it worse, it’s a joke on lagosian	abusive
Sense no Dey ur head	abusive
Boi boi don drop quote for em oga wife	abusive
I believe so much in the awakening of enlightened masses like Lagosians, I never doubted Lagosians.  GBA-ADE-BO ti de, Use this stone Davids(Lagosians) to take down GOLIATHs(APC).  We did it before with our PVC amidst tears and blood, we will do it again   Èkó E dìde!!  ~ GRV.	normal
A snippet of my covenant with Lagosians made during my State of Lagos address which held 2nd Feb, 2023.  Èkó E dìde!!  ~ GRV.	normal
An insensitive governor...	abusive
Shame on you Sanwoolu, your party APC brought thugs & hoodlums to intimidate, harass, disenfranchise and violently attack peaceful voters all across Lagos. You are a disgrace, the people rejected you, there are evidences against your party APC for voters suppression, shame on you	abusive
The Governor is an ex-con!	abusive
Follow-follow or boy-boy . PO came to Lagos just for himself alone, did he recognize, plan, consult for you or campaign for you? You were there like errand boy. You are a joker my man.	abusive
Like eh, power drunk thieves.	abusive
LOL. This guy na mumu honestly	abusive
Sanwo Olu has failed! GRV is coming	abusive
Chinedu, Ori e ti daru.	abusive
Brah you get sense?	normal
Chinedu you're going no where!!!!! Lagos office isn't for toddler	abusive
After commissioning the completed first phase of the road, we immediately flagged off the second phase of the road project, which will extend the construction from the Eleko axis to Abraham Adesanya Roundabout.	normal
Who be this Mr irrelevant again	abusive
Una go lu le today, we are re electing Sanwo Olu for second term ….,it is a done deal	hateful
A worrying N79.7 billion was again borrowed between July and September 2022, further raising our debt profile from N797,305,312,602.53 in June 2022 to N877,035,995,031.70 now.	normal
Chinedu  O L E	abusive
The youth you and your principals sacrificed their lives during #EndSars in order to fulfilled his lifetime ambition and for you to re-gain your 2nd term return ticket. How do you sleep at night ?	hateful
Thief!!! Go and return stolen mandate to  @GRVlagos  you deprived so many persons from voting so u can forcefully get power bank, may posterity never be kind to you	abusive
Oga APC is the worst thing that happened to NIGERIA	hateful
You are doing well sir  But remember iyana-ipaja to sango road it to bad sir  May God continue to bless you	normal
Desperate and tribal people	abusive
Lagos Youths that are breaking new grounds in information technology, this werey dey talk about construction sites!	abusive
What is this crossover?	normal
Death they say is inevitable, she leaved a fulfilled and a fruitful life. My sincere condolences to the family, the Governor and the people of Ondo state.	normal
make  na dey deceive  na self	abusive
Shameless people.God go shame una on Saturday.	abusive
So many bigots He's right	hateful
Damn...fvck off  You're losing Lagos	abusive
Nobody wants you.	hateful
Bloody waste of time. INEC had no plans of working with him anyway.	abusive
BRF Camera Boy	abusive
Bollocks! You are such a liar.  You fail to mention how the opposition always adopt the strategy of exploiting  historical ethnic differences by pandering to the Igbos in Lagos for bloc votes.	abusive
Failure	abusive
The best governor. Jide Milwaukee.	normal
Ram analysis	abusive
Omo Ale! We don't want you	abusive
You lied that you don't have the control of the police over Endsars. Now you have their control...  Your SA led the tribal March against the Igbos. You know all about this...Stop lying Mr Governor	abusive
Thief	abusive
That's a good leader, that's love, please LED love LEAD US, again I would like to congratulate the present governor of Osun state in advance,he is going to win the election this coming Saturday.	normal
Happy birthday boss	normal
He be like say this Ipob boy no get sense at all. You think say Lagosians get time for all this nonsense you are doing. If you don tire u go latter end up in your Anambra. Mugu	abusive
APC politicians have hide their own children ordinary men with low thinking are fighting nd killing each other.... tribalism is killing yorubas	hateful
They’re solidly behind you.. go and win..	normal
Ran away from debate... Fashola should give you a big knock on your nose... Rubbish	abusive
It shall never be well with you and your family. You exercise your right but disfranchised others people to exercise their right.	hateful
Werey ni Bobo Chinedu MIT yi Sore Loser like your liar oga OBI	hateful
Your mumu boy just put sand in jandor garri. Goan contest for councilor and won, before you can contest for gov.	abusive
You are not even eloquent and confident in speaking	abusive
You'll surely lose.	hateful
We want to be able to have an assembly line where we can employ our citizens in an automobile production chain.  This automobile assembly plant when completed, would create employment opportunities for local skilled workers, as 95% of the workforce would be sourced locally.	normal
Calculate this yourself na. How can you have Tinubu and wife as the president and first lady of Nigeria. That's so annoying na. They are too old	abusive
So this werey can go to church.	abusive
Mandate THIEF	abusive
Humbled about what, shameful	abusive
Stop fooling around you can't be the governor of this state!	abusive
Please take a moment to do something about apogbon bridge. The suffering is too much. The traffic jam is out of this world. #apogbonbridge	normal
You are an hypocrite. You can't govern Lagos.  You aren't fit....   You talk too much	abusive
That's to help generate more campaign fund! Thank you.	normal
dey play...Lagosians will come out unlike   25th February and vote competence and push inexperience tribalistic bigot like una out of Lagos...	hateful
Gbarebo rest werey	abusive
Oloshi u sef dey try garner emotional vote… u go fail as Obi did	abusive
Alaye, go and siddon somewhere	abusive
Our goal is to build schools of the future, public schools that are driven by cutting-edge technology and that can compete favorably with the best schools anywhere in the world.5/5	normal
Na now I know say PO supporter don’t know what is politics una think say na rice  and bean	abusive
One of the worst elected governor in the history of Lagos…your post just reminded us of your existence	abusive
Gap tooth fraud. Goat	abusive
Werey. You and your hired thugs from sad beast will be humiliated.	abusive
I attended the 50th anniversary of the Daily Need Group. This fully indigenous conglomerate became a household name in the 70’s, and I must say they have stood the test of time.  It was therefore a celebration worth having.	normal
I led an on-the-site inspection of the ongoing renovation work at the eight-storey building Lagos Revenue House with  @drobafemihamzat  and other state executive council members.  LIRS will occupy a substantial space in the building, while other agencies, including … 1/4	normal
A big shame on Tinubu and his agents	abusive
You're already a failure and failures have nowhere near Lagos treasuries. Sanwo-olu shall win. Lagos need no olounraye like you.	hateful
Olodo Governor  thank God I no make mistake	abusive
My Dear Governor of Lagos State, I'm Kelvin Clinton, I stay in Ajah Lagos, please my dear Governor, I'm an electrician it would be my pleasure if I can get electrical job from your government...	normal
My governor always representing.......	normal
All I see is a joker!	abusive
Where were u b4  Abeg go sit down	abusive
I know you can foolishly promise otodo gbame squatters the govt land that was taken back!	abusive
Oloriburuku Governor   K!ller of peaceful protesters   Tinubu puppet  Skoi Governor	abusive
From its computerised system to allow for easy container identification and clearance to its specialised ship-to-shore cranes, the first of its kind in Nigeria, the Lekki Deep Sea port has an absolute advantage that ensures Lagos continues to be the preferred shipping route.	normal
Your heart doesn't go to the youths that lost their life at toll gate during end sars periods, hypocrite.	hateful
Ogbeni calm down you go collect wotowoto i swear	abusive
Ori e buru	abusive
you are IPOB,we stand with Sanwo-Olu	hateful
Today  @AishaYesufu  brought me close to tears as she reminded us of the violence carried out by the APC against peaceful protesters in Lagos, and they continue to this day,but after this election, no govt will ever brutalize or take the Nigerian youth for granted 2/3	normal
As an OBIdient, getting Mr Peter Obi to reaffirm his endorsement of my candidacy for governor of Lagos state under our party, the Labour Party is of great importance to me.  I’m greatly humbled.  Vote LP , You can do it, We can do it.  Èkó E dìde!!  ~ GRV.	normal
This must be your side gig..   Chaperone of continence challenged organized crime racketeer of Lagos	abusive
You will fail honorably.....	abusive
Shameless	abusive
At the 15th Community of Practice meeting, I charged Commissioners of Budget & Economic Planning for the states to be disciplined, firm and prudent in their planning and implementation of development goals as they support their principals in fiscal sustainability of their state.	normal
You are doing marvellously well our dear Governor, considering the circumstances - 2 recessions and a massive global pandemic. May Your Tribe Increase and may Lagos of Our Dreams continue to Excel	normal
The Oluwo Fish Market, was redeveloped to accommodate 240 open stalls, 80 lock-up stalls, five open trading areas, 12 convenience facilities and 4 new offices for market leaders.   A 960-capacity sports and recreational facility, comprising of a…2/5	normal
All I can see here is simple 'Gathering of thieves'	abusive
Olodo, are you aware that the campaign is officially over on Thursday? You are violating the electoral law dude.	abusive
And most importantly I am here to assure our supporters and all Lagosians, the Labour Party and I are not going anywhere.  The new Nigeria is on the way, we are with you, and we are building our case and the party to deliver it, through legal and peaceful means.	normal
Niranu radarada	abusive
First they came by Martin Niemöller is instructive, ignoring evil when it consumes those around you will eventually backfire because unfailingly, it will set its eyes on you.   We cannot allow the worst of us chart the course for all of us. Elections are not war.	normal
All inclusive Governor	normal
Should I take it as you pushing for a state autonomy? Because most of your projects are self driven state projects that will detach the state from federal dependency in power, trade, revenue, & many others, and now universities.  I believe you & H.E Nyesom Wike are the real deal.	normal
Mumu	abusive
You dey chase clout	abusive
Aligning one’s self with failure is stupidity.	abusive
Lamentation from a loser	abusive
bloody failure	abusive
You are right but we don’t want IPOB policy in Lagos Bro, you are not different from Biafra Boy, causing a lot of destruction in Lagos, We believe Nigeria will be great in the absence of war like the one going on in the SE, SE is unrest. We don’t pray for such in Lagos.	hateful
U re still d worst state governor Lagos will ever have	abusive
Too late!	normal
Wayo nah church you wan use now	abusive
Keep the flag flying Mr Governor	normal
Una go still start crying on Sunday now  Yenyenyen	abusive
I wonder why they feel thre@thened. C0wards!	abusive
Liar from the pit of hell	abusive
Your defeat  @officialjandor  will be the worst for the PDP in the history of Lagos since 1999. Governance is no comedy.	hateful
The Youth you and your boss killed on #EndSARS  what are u celebrating	hateful
You're a performer sir.	abusive
Loser	abusive
Criminal.	abusive
Would Rather watch porn all day than listen to you for five minutes.	abusive
I received the news of the passing of Lady Evangelist Grace Akeredolu, mother of Governor  @RotimiAkeredolu  earlier today with profound sadness.   My condolences and sympathy are with Arakunrin Akeredolu, his siblings and the entire family.  May mama’s soul Rest In Peace.	normal
Bro, Lekki - Epe expressway is literally a nightmare with giant potholes all over. Do something about it!	normal
Really?	normal
you are a liar. markets are open everywhere...	abusive
“Foot soldiers” so violence is still your chosen way? Weakling like you? Okay… Tinubu’s nappy carrier we will see you on the other side!	abusive
my governor my governor come May 2023	normal
Yinmu	abusive
It was a pleasure to receive Otunba Olusegun Runsewe, Director General of National Council for Arts and Culture today in my office.   Otunba Runsewe came to share insights on how to deepen and promote cultural assets to the world as a major economic mainstay in a period…1/3	normal
Stop spiting lies .. maybe Lagos not Eko!!! Eko is not a no man's land no matter how much they pay you to confuse those who don't know the truth.  Those who lie to you don't mean anything good for you! Don't vote them liars! Omo ale Yoruba	hateful
My heart goes out to all the victims of the Akere Auto Parts Market fire. We will work together to ensure everyone affected is provided with the necessary support and assistance.   This is a sad and unfortunate incident and politicizing the sufferings of people is reprehensible.	normal
You should be ashamed of yourselves	abusive
Eti LULE	hateful
No light in lagos	normal
I will be accountable to the good people of Lagos. I will publish the progress of projects in Lagos because it is a thing of pride to show how valid our projects are and how they compare to World bank standards in cost and quality.  Èkó E dìde!!  ~ GRV.	normal
You are wicked Mr governor	abusive
Go siddon one place joor  Nah Fashion parade you think say dem dey do for there???	abusive
Our party leader,  @PeterObi  has spoken and we have heard him !   On March 11th the marathon continues, we will come out and vote for a New Lagos & Nigeria ! When we are UNITED we cannot be defeated!   LP top to bottom !   Èkó E dìde!!	normal
Incoming Governor of Lagos	normal
Kudos	normal
Sanwo 4+4.	normal
You are a useless Governor	abusive
Shameless set of hoodlums	abusive
Why are you guys holding his hand up, why not allow him to raise his hands. Mad people	abusive
Your Excellency... We have left stage of voting wisely... We are voting Peter Obi.	normal
This shows that the government has failed in d educational sector, so you and your colleagues just notice this ASUU and Fg palaver,I pray Nigeria gets a govt someday that put it's citizens first.. So shameful	abusive
Lagos is the Center of Commerce, which makes it a land of ‘opportunities’ not the land for ‘freebies’  With an enabling environment, every Lagosian like you with the right skills can make it easily in Lagos without bowing to anybody.  Èkó E dìde!!	normal
APC too fake abeggg	hateful
The meeting was to officially introduce the APC VP candidate and to thank them for supporting the efforts of our administration as we scale up infrastructure and amenities in the LCDA.  I thanked them for maintaining peace while co-existing with other residents of the state.	normal
Evil doers , you will never go unpunished	abusive
Knock em dead GRV! If that PU S S Y shows up!	hateful
If only you’ll do your own job right and stop stealing public funds for your Druglord godfather	abusive
E never clear for your eye.  Dey play!!!	abusive
This mumu must think he has a chance bcus of LP win in Lagos that's y he's hope skyrockets,	abusive
You and funke are deceiving yourselves  A serial betrayal like you that can stand on his word  What was your agreement with chief Bode George about Gbadebo Vivour Rhodes? And why did he Gbadebo left PDP for LP?	abusive
… the current reality of everyone living in flood prone areas.  During the holidays, the Lagos State Emergency Management Agency (LASEMA) were fully on ground to rescue displaced citizens as a result of the rains, treat and convey accident victims,…2/4	normal
Emotional blackmail dead on arrival.	abusive
With the lies your agents told market women that the North will kill Tinubu for Shettima to take over, this is all you could gather....	abusive
Devil! Agboro-installed governor. Which lagosians voted for you? Criminal	abusive
See this thief. So you didn’t see your thugs causing harm today?	abusive
Odee	abusive
No single Yoruba and you want to be governor of a Yoruba state. You are a joker	hateful
Did you say 9 classrooms???	normal
We has fulfilled many of our promises, and we are ready to do more for our people on this corridor.   In the last three and a half years, we have delivered many projects in the Badagry Division, including a Mother and Child Hospital and rehabilitated many inner road projects.	normal
Oga gettout, you go no where, you and ur principal r just mere opportunist	abusive
This is who I am, a man who sees everyone & wants the best for every Lagosian. Under my administration everyone will have the opportunity for a life of dignified labor (through training, skill acquisition & job creation) & will no longer be exploited by the state.  Èkó E dìde!!	normal
As many of us joined our friends and families to celebrate the Christmas holidays, one family was experiencing the worst kind of pain, watching a loved one die unjustly at the hands of a law enforcement officer who should have protected them	normal
Today, we celebrate the birthday of an outstanding statesman, a visionary, consistent, loyal and enigmatic master strategist and our President-Elect, Asiwaju Bola Ahmed Tinubu  @officialABAT .   On behalf of my darling wife, Ibijoke, and the good people of Lagos State, as well as leaders and members of the All Progressives Congress (APC), I wish the incoming President of the Federal Republic of Nigeria a happy 71st birthday.  At 71, Asiwaju has attained the age where what matters most is legacy and God has blessed him with a great opportunity to take the mantle of leadership of Nigeria, and chart the right path of progress for our people.  Asiwaju Tinubu has donated the greater part of his adult life for service to humanity, Lagos State and Nigeria. His many contributions to democracy and good governance have helped the political and democratic trajectory of Nigeria since 1999. It is also on record that he stood firmly on the side of the Nigerian people, even at the risk of losing his life and personal belongings during the dark days of the military junta.  In the political history of Nigeria, Asiwaju will forever be a reference point. He has made and redefined the socio-political history of Nigeria by contributing his quota to the survival of democracy and uninterrupted civilian administration in Nigeria for 24 years.   His emergence as President-Elect is a reward for his hard work and contributions to the country based on his political astuteness, courage, and sagacity.  As he celebrates his 71st birthday, we wish him all the love and care in the world and pray that God will continue to give him wisdom, knowledge and sound health that he will use to steer the ship of the country and navigate Nigeria’s development to the desired place as he becomes Nigeria’s President from May 29, 2023.	normal
You will never be Lagos state governor, stop deceiving your self, it will not be business as usual. Lagos is our pride and we won’t allow it be govern by an IBOP agent. Your a pathetic clown	hateful
Peter Obi is our next president	normal
Olodo,liar , where is the security you promised? You never turn governor u don dey do promise and fail? If you turn governor nko ? Kaiia	abusive
You people are shameless human beings	abusive
Na lie go killlllllll you oga lie lie master	abusive
@govsanwolu Politics aside, kindly use your good office to provide some relief to the suffering of so many lagosians. You can provide buses and food for the many people that are currently suffering in the meantime until this situation subsides.	normal
My hard working governor, you are blessed	normal
Ode	abusive
I used the opportunity to announce a special trust fund for our three universities in the state.   This autonomous funding mechanism will keep all three Lagos State’s tertiary institutions on the path of sustainability.   2/4	normal
Enemies of democracy	abusive
The importance of this Revenue House is that, it houses a good number of our core revenue-generating agencies.   The whole idea of putting them in one office complex is for them to share facilities, synergies and improve on their individual capacity. 3/4	normal
Weyrey N disguise, Chinedu is that u We don get sense Affliction won't rise the 2nd time, Open ko Opener ni	abusive
You will soon become irrelevant. Keep majoring on the minor. Stop playing to the gallery of the loud minority. Structure your message to appeal to all, perhaps we can consider you for commissioner in Lagos in the next 4 years.	abusive
Rufai was not impressed! Guess you sucked as usual!	abusive
Werey!  Your boys beating people in Oshodi while you are deceiving yourself that you are before God.  Abeg face front, Olorun osi leyin alabosi !	abusive
You and Tinibu killed youths at lekki toll gate	hateful
Hello out-going governor of Lagos state.  You'll get your share of the wotowoto in 2 weeks time.	abusive
Under my administration everyone will have a voice, I will make sure everyone is fairly represented, from women, to the youth to the differently-abled I am making a public commitment that they will all be involved in important decisions my administration makes !   Èkó E dìde!!	normal
Oh please don’t count on him too much. The only thing governor Sanwo olu is good at is ironing gators on his jeans.	abusive
The only threat to lagos is your political Godfather... Take it or leave it	abusive
At the event, I testified to the verifiable track record of APC presidential candidate  @officialABAT , in rendering good governance & effective service delivery.   His transformational leadership & progressive ideals will take Nigeria to another level of meaningful development.	normal
Failed Government God forbid Bad thing	abusive
That is their norms. Useless party.	abusive
Mr governor this away issue , is a matter for the all, since you came in as a governor Lagos State hasn't been given pipes born water again please we Lagos people need water we are suffering too much oga	normal
House boy Governor....	abusive
@officialABAT  it will not better for you.	hateful
Oyinbo MIT. Afi casted na. Omo ale.	hateful
We are voting for you	normal
our campaign strategy. Let’s see how many of such terrible roads they will fix to hoodwink Lagosians before election.  We won’t backdown in our quest to take our Lagos back…This year 2023, Lagos will break free. PDP….Power!!!	normal
Tell your Peter Obituary to borrow you his health insurance card. You need to treat this illness ASAP	hateful
…across the six education districts in the State, we are changing the face of public schools in our state.  When we came on board, one of the things we decided to do in building on the legacy of my predecessors in education was to inaugurate…  2/4	normal
Earlier today, I attended the 90th Birthday Thanksgiving Service of Mrs. Olubisi Osinbajo, mother of Vice President Professor Yemi Osinbajo.   As Mama turns 90, may the good Lord continue to grant her good health and sound mind. Amen	normal
On my behalf, MD of LAMATA, Engr. Abimbola Akinajo handed over the new block of classrooms at Mushin Primary School to the Lagos State Universal Basic Education Board.   I must commend the people whose building were affected while establishing the right-of-way for the rail.   2/3	normal
Who ordered the lekkimassacre shooting? Bloody hands	hateful
Great memories and good legacy left.... Rest easy PAO	normal
Ogbeni we no want you ooo, Sanwo for 2nd term	normal
Werey ni Chinedu aje	abusive
This guy still dey suck feeding bottle..	abusive
We are working for you and with you  If you don't believe the things we say, you cannot disbelieve the things we have done.  A Greater Lagos is indeed rising.	normal
Shame on you Sanwoolu, your party APC brought thugs & hoodlums to intimidate, harass, disenfranchise and violently attack peaceful voters all across Lagos. You are a disgrace, the people rejected you, there are evidences against your party APC for voters suppression, shame on you	abusive
Lagos must move away from Agberocracy to grow, to be safe, to be productive. Our young men will be equipped to earn a productive living with their dignity restored. Our brothers on drugs will be rehabilitated and retooled. Lagos must be productive, Lagos must rank No1 on ease of doing business.	normal
Your misplaced priority is so shameful.	abusive
Today, on her 62nd birthday, we celebrate a true amazon, distinguished Senator Oluremi Tinubu.  Senator Tinubu is a woman of grace who has emblazoned her name as an advocate of social justice, a philanthropist and a voice for the voiceless all through her private and public life.	normal
Lagos remains the greatest city in Nigeria and one of the largest economies in West Africa.   Despite sitting on only 1% of Nigeria’s landmass—a third of that being water—we house 10% of Nigeria’s population.	normal
There's more you can do Egbon, we need more infrastructural project in Lagos, create job and stop being politically used	abusive
Young farmers association of Nigeria..	abusive
Killers	hateful
A worthless candidate like you has no value. Why will Sanwo-Olu be after the life of a fly. Eagles don't chase flies boy.  You're too minute a candidate to be taken seriously. You'll be defeated and cry as a baby you are.	abusive
Who's this omo ale eleribu? So Lagos Gov is so jobless that he will come to ur doorstep?  .abunu	abusive
Copy the message below, paste & tweet on your timeline as a sign of hope and faith  “Nigeria will work in my lifetime, Lagos will be excellent in my lifetime with peaceful coexistence and prosperity. I will do my part, so help me God ”  Èkó E dìde!!  ~ GRV.	normal
The people are an integral part of any democratic dispensation and we are conscious of this fact, hence the reason for our determination to pay adequate attention to the needs of the masses.  We shall work rigorously to make Lagos a more enabling environment for every business	normal
You will not end well bro  Your wife will not enjoy her fruit 0f labour too	hateful
Shey den no steal ur own mandate???...u still dey do strong head...u better congratulate the winner and stop giving urself useless hope Mr Oyo Messi	abusive
I am deeply saddened by the news of the train/BRT collision in Ikeja. My prayers for everyone involved in the accident.   We must all do the best we can to help emergency services get help to all affected.	normal
The better future of Lagos is here, I’ll be hosting a series of E-Town halls starting tomorrow where education issues will be addressed with Parents & Teachers & how to solve them, the system has been failing & I’m here to change that!	normal
You be mugu….	abusive
I'm very sure that APC candidate won't be there. He is confident that Tinubu will deliver him using thugs	hateful
You go loose no waste your money guy	abusive
You are riding on a stolen mandate. You should be thoroughly ashamed of yourself.	abusive
I heartily welcome the decision of the National Universities Commission (NUC), to close universities ahead of the 2023 general elections. So as to enable the students participate in the polls and exercise their constitutional rights to vote.	normal
You know you are loved when people help back up tweets that are accidentally deleted during edits ....thank you for being so attentive.	normal
shut uppppp and tell your boys to stop intimidating voters if you're so sure of yourself.	abusive
Scam	abusive
But your sugar daddy's newspaper  says otherwise Jide.  Why do you lie alot?	abusive
Joseph	normal
Let’s retire these thugs and their paymasters once and for all	hateful
I was overwhelmed with concern during my visit to Ajido, a riverine community in Badagry LGA. The people of this community and a larger population in Badagry live in constant threat of flooding.	normal
@inecnigeria  you must be impartial and partless   Remove and fire that dubious Rec   He is unfit and mad	hateful
Is a pity you won’t be coming back for 2nd time. We are taken you out of office with our vote come 11th of this month. If you want to know why. Cos you still refuse to tell us. Who gave the order. This is pay back. We are doing it for our fallen Heroes #EndSars	hateful
It was a full circle moment yesterday when Chief Bode George,PDP National Leader, hosted Funke Akindele and I to a reconciliation meeting, witnessed by prominent members of the PDP.	normal
Power belong to the youth	normal
Thank you  @jidesanwoolu  my favorite governor though am from SS	normal
Fraudsters forum	abusive
Boboyi rest... As Dem dey deceive your oga obi.. naso Dem dey deceive you	abusive
I urge you not to relent in your pursuit of excellence, you are the diamonds encrusted on gold rings for this noble and honorable profession.   I wish you more triumphs as we collectively work together towards moving Lagos State to greater heights in the education sector	normal
Oloshi na Onitsha you suppose go they fight for governor. Chinedu turn to gbadebo omo Igbo werey koni da fun yin eyin	hateful
Your hands are filled with the blood of the innocent, being a governor cannot save you from God's justice.	hateful
Happy birthday sir May God reward you greatly sir	normal
Lagos is an urban slum . Any so called mega city that lacks basic infrastructure like proper waste disposal , drainage , tap water, roads, transportation system, educational & health infrastructure , good roads exhibits the xter of a SLUM.  @jidesanwoolu   @officialABA	abusive
really thought you were intelligent. The structure of criminality brought you to political relevance in 2015 and attempted to take you to the Senate in 2019. You aspired under the same structure of criminality to be Governor and left the party in 2022. You need to wake up.	abusive
You are mad o	abusive
Keep deceiving urself...Mumu	abusive
Good evening Lagos,   This evening at 7pm, I will be on LTV discussing governance, ongoing projects and new developments on the road to the elections as we continue the work to make Lagos one of the most functional and habitable cities in the world.   Please tune in.	normal
Hope you heard the word of God?	normal
Enjoying the aquatic splendour of Lagos while riding on the Blue Line which will convey 200,000 passengers daily, making Lagos one of the world cities with a functional mass transit system is something every Lagos resident should be proud of.	normal
